United States,9810,37988066,404221425767
United Kingdom,1162,32272268,33308269338
France,963,24132240,10539726606
China,232,27607554,8324620896
New Zealand,50,90847059,7002459746
Germany,385,30252662,5446693507
Japan,269,21010000,4641582344
Canada,574,15802920,4057282017
Australia,217,28094753,3530578681
Republic of Korea,187,18963636,2751826806
Hong Kong,111,22725000,2631529824
Spain,209,19083039,2255408551
India,420,7679808,2126210568
Italy,258,18949831,1851582227
Mexico,102,16080952,1309585239
Russian Federation,71,17250000,546825580
United Arab Emirates,14,32625000,514897715
Belgium,111,16292308,509112740
Malta,2,150000000,484193597
Hungary,23,50933333,437195879
Sweden,63,8312500,415441722
"Taiwan, Province of China",20,12325000,369003114
Ireland,95,11160182,344970260
Argentina,64,26475000,290998787
Brazil,49,12097853,289128657
Denmark,80,6075000,272498589
Netherlands,67,22590000,254340084
Tunisia,2,35000000,233110699
Morocco,7,38966667,202194260
Turkey,31,15400000,169601512
Dominican Republic,6,67750000,165953932
Uruguay,6,135000000,164122501
Paraguay,2,135000000,163790188
South Africa,48,12193462,139256112
Romania,21,9933600,129080872
Switzerland,47,32000000,122327771
Thailand,35,6833333,104331164
Poland,35,9466667,96561118
Kuwait,1,80000000,96148711
Chile,30,25000000,88861829
Czech Republic,28,14300000,87106818
Austria,46,18000000,83321958
Peru,10,1200000,71977546
Israel,77,1650000,70784057
Iceland,13,31500000,64988334
Norway,45,3608333,63958023
Cuba,8,0,55664973
Luxembourg,20,12666667,54387987
Latvia,4,0,44438156
Islamic Republic of Iran,26,626667,42767866
Bahamas,2,57000000,38466385
Ukraine,11,26000000,37324789
Malaysia,5,25000000,37236517
Greece,15,1661500,35321282
Singapore,11,0,34844144
Namibia,1,75000000,34009180
Finland,18,5500000,29306881
Algeria,4,10100000,27572036
Kazakhstan,4,29000000,27439570
Philippines,27,0,20749737
Lebanon,5,1250000,16216986
Saudi Arabia,1,0,14505102
Portugal,15,800000,13784341
Indonesia,7,950000,11923210
Bulgaria,6,10750000,11828034
Bosnia and Herzegovina,3,20500000,10409271
Croatia,4,40000000,7778286
The Former Yugoslav Republic of Macedonia,3,0,7363359
Egypt,6,0,6353211
Mauritania,1,0,5605501
Occupied Palestinian Territory,9,0,4338734
Puerto Rico,6,0,2879890
Afghanistan,4,500000,2435057
Yemen,2,0,2358627
Cyprus,3,5000000,1888496
Tajikistan,1,0,1765607
Bolivarian Republic of Venezuela,12,0,1742881
Libyan Arab Jamahiriya,1,35000000,1500000
Georgia,5,12000000,1341285
Cambodia,7,3000000,1220025
Colombia,8,0,1167884
Pakistan,12,900000,882527
Panama,1,17000000,766112
Qatar,4,0,591174
Estonia,5,0,533127
Lithuania,5,500000,411669
Ghana,1,0,384778
Senegal,3,0,372547
Kenya,3,15000,332306
Iraq,5,0,285842
Slovakia,6,0,280911
Viet Nam,4,0,213058
British Indian Ocean Territory,1,0,204784
Jordan,3,5000000,147701
Albania,1,0,122593
Armenia,1,0,122305
Nigeria,6,3800000,94674
The Democratic Republic of the Congo,2,0,75179
Ethiopia,3,0,57183
Lao People’s Democratic Republic,2,0,56823
Bangladesh,1,0,42733
Monaco,1,0,41875
Haiti,2,0,39901
Rwanda,2,0,37673
Syrian Arab Republic,1,0,34808
Greenland,1,0,33416
United Republic of Tanzania,4,800000,27253
Slovenia,3,560000,27235
Plurinational State of Bolivia,1,0,22664
Nepal,6,0,17283
Chad,1,0,9862
Uganda,1,0,8941
Papua New Guinea,1,0,5086
Bhutan,2,0,4818
Angola,1,0,4674
Lesotho,1,0,3355
Serbia,2,0,3163
Cameroon,1,0,2710
Burkina Faso,1,0,1581
Jamaica,2,750000,450
Guatemala,2,0,0
Belarus,2,0,0
Somalia,1,0,0
Ecuador,1,800000,0
Montenegro,1,0,0
Azerbaijan,1,0,0
Nicaragua,1,0,0
El Salvador,1,0,0
Democratic People's Republic of Korea,1,0,0
Liberia,1,0,0
Kyrgyzstan,1,1400000,0
"Box office totals are based on the years that films were released, so a film released in December, 2012, for example, will accrue box office towards 2012's total, even for tickets sold in 2013, 2014 or 2015.",,,
,,,
"Note: Since we are still actively researching production countries, we consider this chart to be in beta mode. While we make every effort to collect all available data, there are inevitably omissions and errors. Please help us by sending corrections to corrections@the-numbers.com.",,,
Release Year,No. of Movies,Average Production Budget,Total Worldwide Box Office
2020,9,81666667,0
2019,11,0,0
2018,62,0,0
2017,239,91250000,0
2016,475,39419130,0
2015,2308,25455361,26384744219
2014,1603,33073591,28064505245
2013,1451,38429444,28870607548
2012,1434,37786690,30565953595
2011,1686,35494477,27527608016
2010,1442,34193467,25400776659
2009,1227,36180451,26171339827
2008,1098,32349681,23941149278
2007,1035,32900957,23117325466
2006,830,29219703,20040411624
2005,614,33441678,18731614517
2004,588,35449519,18872827267
2003,516,32558112,17552950895
2002,495,31214465,16994593972
2001,498,32363449,15073327643
2000,529,31637372,13331243317
1999,475,29729311,13440362019
1998,434,30730440,11599067334
1997,348,41401870,12651178835
1996,330,31575708,10104475853
1995,299,34683108,9730788725
1994,250,29327764,8738567208
1993,223,20687109,7832096684
1992,203,26650000,6831176997
1991,213,22342316,6134685574
1990,206,26244333,6532602096
1989,205,18640000,5609582077
1988,208,15419355,4642205417
1987,217,13545588,4048322662
1986,201,15330172,3495883237
1985,200,13862963,3783403522
1984,182,15188393,3837091815
1983,183,13835545,3219870987
1982,147,12296667,3479127560
1981,137,12860000,2764897267
1980,136,13489655,2874404466
1979,104,14048333,2419625990
1978,67,13027083,2231599572
1977,53,10880000,2692893873
1976,39,4909091,1144313343
1975,44,4662500,1411025069
1974,39,5264000,1153304103
1973,30,4816540,1261778649
1972,32,4251500,847058967
1971,37,4068750,641263607
1970,51,11346995,771200623
1969,46,9680000,672190363
1968,41,4735111,630264300
1967,36,4142857,928440197
1966,29,6350000,423253019
1965,29,9633333,819324058
1964,28,7051429,554436463
1963,31,9948250,506500818
1962,23,7957143,295691632
1961,26,3580000,463580429
1960,19,6800000,250468251
1959,17,6595962,271079608
1958,13,3000000,142227673
1957,17,2780000,135331060
1956,21,4587500,274121871
1955,15,1200000,198091010
1954,29,3636667,234459295
1953,13,2128000,232729505
1952,10,2423333,79931330
1951,19,3310000,108850442
1950,12,3334393,319965640
1949,15,1300000,82860390
1948,19,3350000,68027971
1947,16,2000000,87214636
1946,22,3320000,243164742
1945,16,1636667,123032000
1944,8,3780500,38100000
1943,12,1833000,76325500
1942,13,134000,322100000
1941,13,1250000,34800000
1940,9,1856000,188992000
1939,12,2725667,435559300
1938,8,1822000,11414620
1937,9,1488000,196825485
1936,7,1333333,16516245
1935,4,609000,3202000
1934,3,325000,3600000
1933,3,437000,14281000
1932,3,0,0
1931,4,558000,16918165
1930,5,4000000,11077982
1929,3,379000,7003504
1928,2,0,11200000
1927,3,2000000,4206834
1926,1,0,3000000
1925,3,2072500,31051198
1923,1,0,3800000
1921,2,0,11700000
1920,2,100000,3000000
1916,2,292954,8000000
1915,3,110000,11000000
0,11,791667,0
